1000006676793|550349.843947|4183981.75324|21.22|168.589725|-1.621977|0.497583|0.016|2011-02-07 19:29:49.630000+00:00|143.259|10
1000006676794|550351.942669|4183971.38015|21.111|167.322504|-2.338915|1.475088|0.016|2011-02-07 19:29:50.830000+00:00|145.448|10
1000006676795|550354.334344|4183959.80523|20.796|168.283328|-2.507769|1.372566|0.016|2011-02-07 19:29:52.050000+00:00|150.097|10
1000006676796|550356.510096|4183948.24019|20.503|169.368154|-3.063723|0.990473|0.016|2011-02-07 19:29:53.230000+00:00|145.909|10
1000006676797|550358.505698|4183936.85283|20.178|169.466575|-2.60742|0.737488|0.016|2011-02-07 19:29:54.430000+00:00|137.458|10
1000006676798|550360.288826|4183926.52263|19.936|169.787587|-3.427569|0.72581|0.016|2011-02-07 19:29:55.640000+00:00|143.268|10
1000006676799|550361.928103|4183916.45154|19.643|170.201485|-3.244953|0.898865|0.016|2011-02-07 19:29:57.050000+00:00|145.274|10
1000006676800|550363.481636|4183907.07066|19.365|170.13504|-3.093561|0.819615|0.015|2011-02-07 19:29:59.060000+00:00|142.269|10
1000006676801|550364.972892|4183897.42248|19.143|171.232452|-1.71222|0.831929|0.017|2011-02-07 19:30:33.250000+00:00|146.556|10
1000006676802|550366.539693|4183886.30651|19.002|171.599328|-0.597783|0.230205|0.018|2011-02-07 19:30:35.050000+00:00|149.857|10
1000006676803|550368.115023|4183875.56672|19.072|170.396761|-1.472243|0.171199|0.018|2011-02-07 19:30:36.430000+00:00|149.086|10
1000006676804|550369.863665|4183865.07806|18.959|169.280851|-1.962518|1.094079|0.018|2011-02-07 19:30:37.630000+00:00|153.208|10
1000006676805|550372.00818|4183853.76215|19.088|169.108182|0.395912|-0.301534|0.018|2011-02-07 19:30:38.830000+00:00|146.344|10
1000006676806|550373.799853|4183843.58027|19.278|169.436951|-0.441507|0.182619|0.018|2011-02-07 19:30:39.830000+00:00|139.151|10
1000006676807|550375.612868|4183833.19173|19.35|169.504473|-0.293453|0.249913|0.018|2011-02-07 19:30:40.830000+00:00|124.021|10
1000006676808|550377.549385|4183821.78555|19.495|170.241603|-0.758762|-0.225929|0.018|2011-02-07 19:30:42.050000+00:00|144.447|10
1000006676809|550379.044596|4183811.95653|19.603|170.621361|-1.289896|0.550099|0.018|2011-02-07 19:30:43.420000+00:00|143.575|10
1000006676810|550380.623188|4183802.11221|19.694|170.746183|-0.610803|0.418258|0.019|2011-02-07 19:30:45.830000+00:00|142.511|10
1000006676811|550382.09126|4183792.47491|19.848|169.973723|-1.102745|0.806233|0.019|2011-02-07 19:30:51.420000+00:00|141.347|10
1000006676812|550384.071757|4183781.04939|19.859|169.747912|-0.452831|0.52162|0.019|2011-02-07 19:30:55.630000+00:00|160.203|10
1000006676813|550385.919601|4183770.03795|19.802|169.541941|-0.933061|1.077982|0.019|2011-02-07 19:30:57.230000+00:00|152.474|10
1000006676814|550387.939691|4183758.7043|19.791|169.184869|-0.32416|0.646136|0.018|2011-02-07 19:30:58.640000+00:00|148.697|10
1000006676815|550389.734125|4183748.35089|19.807|169.415428|-1.003394|1.36341|0.018|2011-02-07 19:30:59.830000+00:00|145.084|10
1000006676816|550391.743402|4183736.91573|19.852|169.999566|-0.459685|0.598415|0.018|2011-02-07 19:31:01.060000+00:00|144.393|10
1000006676817|550393.344684|4183726.11676|19.933|170.968752|-1.14422|1.092584|0.018|2011-02-07 19:31:02.230000+00:00|138.763|10
1000006676818|550394.88053|4183716.32841|20.023|170.237866|-0.536235|0.610594|0.017|2011-02-07 19:31:03.430000+00:00|126.381|10
1000006676819|550396.48251|4183706.39429|20.21|169.57861|-0.463499|1.446665|0.017|2011-02-07 19:31:05.060000+00:00|135.948|10
1000006676820|550398.221573|4183696.86261|20.404|168.939514|-0.057333|0.490492|0.017|2011-02-07 19:31:07.630000+00:00|142.999|10
1000006676821|550400.04447|4183685.58884|20.594|170.492075|0.135708|1.8565|0.019|2011-02-07 19:31:14.040000+00:00|150.706|10
1000006676822|550401.597162|4183675.20866|20.666|171.218953|-0.456708|1.245601|0.019|2011-02-07 19:31:15.630000+00:00|146.857|10
1000006676823|550403.150581|4183663.91946|20.906|171.116579|4.615222|2.575883|0.02|2011-02-07 19:31:17.050000+00:00|136.49|10
1000006676824|550404.672257|4183653.97571|22.041|170.466923|5.746124|1.717045|0.02|2011-02-07 19:31:18.230000+00:00|126.577|10
1000006676825|550406.462277|4183643.05603|23.346|169.136513|5.991286|2.041476|0.02|2011-02-07 19:31:19.660000+00:00|134.518|10
